number;delta_analit_proizv1;delta_analit_proizv2;delta_analit_proizv3;delta_analit_proizv4;delta_analit_proizv5;
1;0.01676959173975250435;0.02242862139035664218;0.002829514825302068915;0.0005121503054662572226;0.0005121581763105179682;
0.5;0.008918628686365770322;0.01029452972376241384;0.0006879505186983217598;2.590425016959395843e-05;3.239862513624419942e-06;
0.25;0.004609323045473385551;0.004950980707479800391;0.0001708288310032074204;1.545064895164044091e-06;4.325278540296090095e-08;
0.125;0.002344577280373356346;0.0024298484842725689;4.263560194960627726e-05;9.547440159410379781e-08;6.51291239038911951e-10;
0.0625;0.001182595020956680933;0.001203903896454905787;1.065443774911242715e-05;5.950317718856224652e-09;1.008412670315712856e-11;
0.03125;0.0005939168038534717938;0.0005992434652789099185;2.663330712719062365e-06;3.716327453835276823e-10;1.572081765981170332e-13;
0.015625;0.0002976186785487256532;0.0002989503090706551662;6.658152609647564717e-07;2.322295334549265289e-11;2.456341336928846708e-15;
0.0078125;0.0001489750975212942381;0.0001493080029747164621;1.664527267111119528e-07;1.45137344525515799e-12;3.501973017128179322e-17;
0.00390625;7.452907492912420233e-05;7.461230115641891798e-05;4.161311364735782378e-08;9.070722688589438754e-14;3.550762114890027021e-18;
0.001953125;3.727492986209591424e-05;3.729573641043725614e-05;1.040327417067095014e-08;5.654873271032645476e-15;1.555830117516698863e-17;
0.0009765625;1.864006438921850988e-05;1.864526602580817522e-05;2.600818294832673433e-09;3.304648221735817515e-16;2.482822974991805154e-17;
0.00048828125;9.32068222924054739e-06;9.321982638378016172e-06;6.50204568734390892e-10;6.613633252161577047e-18;1.187201378871627355e-17;
0.000244140625;4.66050364443727121e-06;4.660828746850468728e-06;1.625512065987592958e-10;8.586881206085195117e-17;9.329559694237765655e-17;
0.0001220703125;2.33029245731909045e-06;2.330373733439798211e-06;4.063806035388070614e-11;3.449389211762632357e-16;3.745376404851175067e-16;
6.103515625e-05;1.165156387915929504e-06;1.165176706575336407e-06;1.015932970345120867e-11;2.471709902723828733e-16;3.359942532532578241e-16;
3.0517578125e-05;5.825807344198648437e-07;5.825858137139465313e-07;2.539647040843834302e-12;2.471709902723828733e-16;2.47198095326695011e-16;
1.52587890625e-05;2.912910043054790961e-07;2.912922715377834308e-07;6.336161521673655539e-13;1.727486426475466352e-15;1.964330391054924796e-15;
7.62939453125e-06;1.456456596319395842e-07;1.45645981842405358e-07;1.611052328868989303e-13;3.601584091725285042e-15;4.31214309051797251e-15;
3.814697265625e-06;7.282287360833210668e-08;7.282295423426772205e-08;4.031296780768189869e-14;4.889751797909624997e-17;4.248175162341327749e-16;
1.9073486328125e-06;3.64114521748189375e-08;3.641150437904512246e-08;2.610211309247989497e-14;2.136515248572778969e-14;2.420733427078991529e-14;
9.5367431640625e-07;1.820575566891706812e-08;1.820575102972439227e-08;2.319596337924112461e-15;1.179349044637401089e-14;1.747782691144394995e-14;
